qid,full_question,subid,subquestion
Problemfour,"The Premier of NSW has to take an important decision whether or not to include an additional line (extension) to Sydney’s metro system. The decision is based on the financial viability of the extension. He is willing to apply decision theory in making his decision. He uses the independent opinion of two consulting experts. The data he uses is the number X of viability recommendations of the two experts (X = 0, 1 or 2).

If the Premier does not go ahead and the extension turns out not to be financially viable or if he decides to go ahead and the project is financially viable, nothing is lost. If the project is not financially viable and he has decided to go ahead, his subjective judgement is that his loss would equal three times the loss of not going ahead but the project is financially viable.

The Premier has investigated the history of viability predictions of the two consulting experts and it is as follows. When a project is financially viable, both experts have correctly predicted its viability with probability 4/5 (and wrongly with 1/5). When a project has not been financially viable, both experts had a prediction of 3/5 for it to be viable. The Premier listens to the recommendations of the two experts and makes his decision based on the value of X.

a) There are two possible actions in the action space A = {a₀, a₁} where a₀ is to go ahead and a₁ is not to go ahead. There are two states of nature Θ = {θ₀, θ₁} where θ₀ = 0 represents 'extension is financially viable' and θ₁ = 1 means 'not viable'. Define a suitable loss function L(θ, a).
b) Compute the probability mass function (pmf) for X under both states of nature.
c) The complete list of all the non-randomized decisions rules D based on x is given by:
   x = 0: a₀ a₁ a₀ a₁ a₀ a₁ a₀ a₁
   x = 1: a₀ a₀ a₁ a₁ a₀ a₀ a₁ a₁
   x = 2: a₀ a₀ a₀ a₀ a₁ a₁ a₁ a₁
   (d₁ to d₈)
d) For each rule in D compute the corresponding risk points.
e) Find the minimax rule(s) among the non-randomized rules.
f) Sketch the risk set of all randomized rules D generated by the 8 rules. Use R or any plotting tool.
g) Find the risk point of the minimax rule in the set of randomized decision rules D. Compare to minimax in D.
h) Define the minimax rule in D in terms of rules in D.
i) For which prior on {θ₁, θ₂} is the minimax rule in D also a Bayes rule?
j) Suppose the Premier’s belief in viability is 50%. Find the Bayes rule and Bayes risk.
k) For ε = 0.1, find the ε-minimax rules and risk points on the risk set.",d,Compute the risk points for all non-randomized rules in D.
Problemfour,"The Premier of NSW has to take an important decision whether or not to include an additional line (extension) to Sydney’s metro system. The decision is based on the financial viability of the extension. He is willing to apply decision theory in making his decision. He uses the independent opinion of two consulting experts. The data he uses is the number X of viability recommendations of the two experts (X = 0, 1 or 2).

If the Premier does not go ahead and the extension turns out not to be financially viable or if he decides to go ahead and the project is financially viable, nothing is lost. If the project is not financially viable and he has decided to go ahead, his subjective judgement is that his loss would equal three times the loss of not going ahead but the project is financially viable.

The Premier has investigated the history of viability predictions of the two consulting experts and it is as follows. When a project is financially viable, both experts have correctly predicted its viability with probability 4/5 (and wrongly with 1/5). When a project has not been financially viable, both experts had a prediction of 3/5 for it to be viable. The Premier listens to the recommendations of the two experts and makes his decision based on the value of X.

a) There are two possible actions in the action space A = {a₀, a₁} where a₀ is to go ahead and a₁ is not to go ahead. There are two states of nature Θ = {θ₀, θ₁} where θ₀ = 0 represents 'extension is financially viable' and θ₁ = 1 means 'not viable'. Define a suitable loss function L(θ, a).
b) Compute the probability mass function (pmf) for X under both states of nature.
c) The complete list of all the non-randomized decisions rules D based on x is given by:
   x = 0: a₀ a₁ a₀ a₁ a₀ a₁ a₀ a₁
   x = 1: a₀ a₀ a₁ a₁ a₀ a₀ a₁ a₁
   x = 2: a₀ a₀ a₀ a₀ a₁ a₁ a₁ a₁
   (d₁ to d₈)
d) For each rule in D compute the corresponding risk points.
e) Find the minimax rule(s) among the non-randomized rules.
f) Sketch the risk set of all randomized rules D generated by the 8 rules. Use R or any plotting tool.
g) Find the risk point of the minimax rule in the set of randomized decision rules D. Compare to minimax in D.
h) Define the minimax rule in D in terms of rules in D.
i) For which prior on {θ₁, θ₂} is the minimax rule in D also a Bayes rule?
j) Suppose the Premier’s belief in viability is 50%. Find the Bayes rule and Bayes risk.
k) For ε = 0.1, find the ε-minimax rules and risk points on the risk set.",e,Find the minimax rule(s) among the non-randomized rules in D.
Problemfour,"The Premier of NSW has to take an important decision whether or not to include an additional line (extension) to Sydney’s metro system. The decision is based on the financial viability of the extension. He is willing to apply decision theory in making his decision. He uses the independent opinion of two consulting experts. The data he uses is the number X of viability recommendations of the two experts (X = 0, 1 or 2).

If the Premier does not go ahead and the extension turns out not to be financially viable or if he decides to go ahead and the project is financially viable, nothing is lost. If the project is not financially viable and he has decided to go ahead, his subjective judgement is that his loss would equal three times the loss of not going ahead but the project is financially viable.

The Premier has investigated the history of viability predictions of the two consulting experts and it is as follows. When a project is financially viable, both experts have correctly predicted its viability with probability 4/5 (and wrongly with 1/5). When a project has not been financially viable, both experts had a prediction of 3/5 for it to be viable. The Premier listens to the recommendations of the two experts and makes his decision based on the value of X.

a) There are two possible actions in the action space A = {a₀, a₁} where a₀ is to go ahead and a₁ is not to go ahead. There are two states of nature Θ = {θ₀, θ₁} where θ₀ = 0 represents 'extension is financially viable' and θ₁ = 1 means 'not viable'. Define a suitable loss function L(θ, a).
b) Compute the probability mass function (pmf) for X under both states of nature.
c) The complete list of all the non-randomized decisions rules D based on x is given by:
   x = 0: a₀ a₁ a₀ a₁ a₀ a₁ a₀ a₁
   x = 1: a₀ a₀ a₁ a₁ a₀ a₀ a₁ a₁
   x = 2: a₀ a₀ a₀ a₀ a₁ a₁ a₁ a₁
   (d₁ to d₈)
d) For each rule in D compute the corresponding risk points.
e) Find the minimax rule(s) among the non-randomized rules.
f) Sketch the risk set of all randomized rules D generated by the 8 rules. Use R or any plotting tool.
g) Find the risk point of the minimax rule in the set of randomized decision rules D. Compare to minimax in D.
h) Define the minimax rule in D in terms of rules in D.
i) For which prior on {θ₁, θ₂} is the minimax rule in D also a Bayes rule?
j) Suppose the Premier’s belief in viability is 50%. Find the Bayes rule and Bayes risk.
k) For ε = 0.1, find the ε-minimax rules and risk points on the risk set.",f,Sketch the risk set of all randomized rules D and identify admissible rules.
Problemfour,"The Premier of NSW has to take an important decision whether or not to include an additional line (extension) to Sydney’s metro system. The decision is based on the financial viability of the extension. He is willing to apply decision theory in making his decision. He uses the independent opinion of two consulting experts. The data he uses is the number X of viability recommendations of the two experts (X = 0, 1 or 2).

If the Premier does not go ahead and the extension turns out not to be financially viable or if he decides to go ahead and the project is financially viable, nothing is lost. If the project is not financially viable and he has decided to go ahead, his subjective judgement is that his loss would equal three times the loss of not going ahead but the project is financially viable.

The Premier has investigated the history of viability predictions of the two consulting experts and it is as follows. When a project is financially viable, both experts have correctly predicted its viability with probability 4/5 (and wrongly with 1/5). When a project has not been financially viable, both experts had a prediction of 3/5 for it to be viable. The Premier listens to the recommendations of the two experts and makes his decision based on the value of X.

a) There are two possible actions in the action space A = {a₀, a₁} where a₀ is to go ahead and a₁ is not to go ahead. There are two states of nature Θ = {θ₀, θ₁} where θ₀ = 0 represents 'extension is financially viable' and θ₁ = 1 means 'not viable'. Define a suitable loss function L(θ, a).
b) Compute the probability mass function (pmf) for X under both states of nature.
c) The complete list of all the non-randomized decisions rules D based on x is given by:
   x = 0: a₀ a₁ a₀ a₁ a₀ a₁ a₀ a₁
   x = 1: a₀ a₀ a₁ a₁ a₀ a₀ a₁ a₁
   x = 2: a₀ a₀ a₀ a₀ a₁ a₁ a₁ a₁
   (d₁ to d₈)
d) For each rule in D compute the corresponding risk points.
e) Find the minimax rule(s) among the non-randomized rules.
f) Sketch the risk set of all randomized rules D generated by the 8 rules. Use R or any plotting tool.
g) Find the risk point of the minimax rule in the set of randomized decision rules D. Compare to minimax in D.
h) Define the minimax rule in D in terms of rules in D.
i) For which prior on {θ₁, θ₂} is the minimax rule in D also a Bayes rule?
j) Suppose the Premier’s belief in viability is 50%. Find the Bayes rule and Bayes risk.
k) For ε = 0.1, find the ε-minimax rules and risk points on the risk set.",g,Find the risk point of the minimax rule in the randomized set D and compare to the non-randomized.
Problemfour,"The Premier of NSW has to take an important decision whether or not to include an additional line (extension) to Sydney’s metro system. The decision is based on the financial viability of the extension. He is willing to apply decision theory in making his decision. He uses the independent opinion of two consulting experts. The data he uses is the number X of viability recommendations of the two experts (X = 0, 1 or 2).

If the Premier does not go ahead and the extension turns out not to be financially viable or if he decides to go ahead and the project is financially viable, nothing is lost. If the project is not financially viable and he has decided to go ahead, his subjective judgement is that his loss would equal three times the loss of not going ahead but the project is financially viable.

The Premier has investigated the history of viability predictions of the two consulting experts and it is as follows. When a project is financially viable, both experts have correctly predicted its viability with probability 4/5 (and wrongly with 1/5). When a project has not been financially viable, both experts had a prediction of 3/5 for it to be viable. The Premier listens to the recommendations of the two experts and makes his decision based on the value of X.

a) There are two possible actions in the action space A = {a₀, a₁} where a₀ is to go ahead and a₁ is not to go ahead. There are two states of nature Θ = {θ₀, θ₁} where θ₀ = 0 represents 'extension is financially viable' and θ₁ = 1 means 'not viable'. Define a suitable loss function L(θ, a).
b) Compute the probability mass function (pmf) for X under both states of nature.
c) The complete list of all the non-randomized decisions rules D based on x is given by:
   x = 0: a₀ a₁ a₀ a₁ a₀ a₁ a₀ a₁
   x = 1: a₀ a₀ a₁ a₁ a₀ a₀ a₁ a₁
   x = 2: a₀ a₀ a₀ a₀ a₁ a₁ a₁ a₁
   (d₁ to d₈)
d) For each rule in D compute the corresponding risk points.
e) Find the minimax rule(s) among the non-randomized rules.
f) Sketch the risk set of all randomized rules D generated by the 8 rules. Use R or any plotting tool.
g) Find the risk point of the minimax rule in the set of randomized decision rules D. Compare to minimax in D.
h) Define the minimax rule in D in terms of rules in D.
i) For which prior on {θ₁, θ₂} is the minimax rule in D also a Bayes rule?
j) Suppose the Premier’s belief in viability is 50%. Find the Bayes rule and Bayes risk.
k) For ε = 0.1, find the ε-minimax rules and risk points on the risk set.",h,Define the minimax rule in the set D in terms of rules in D.
Problemfour,"The Premier of NSW has to take an important decision whether or not to include an additional line (extension) to Sydney’s metro system. The decision is based on the financial viability of the extension. He is willing to apply decision theory in making his decision. He uses the independent opinion of two consulting experts. The data he uses is the number X of viability recommendations of the two experts (X = 0, 1 or 2).

If the Premier does not go ahead and the extension turns out not to be financially viable or if he decides to go ahead and the project is financially viable, nothing is lost. If the project is not financially viable and he has decided to go ahead, his subjective judgement is that his loss would equal three times the loss of not going ahead but the project is financially viable.

The Premier has investigated the history of viability predictions of the two consulting experts and it is as follows. When a project is financially viable, both experts have correctly predicted its viability with probability 4/5 (and wrongly with 1/5). When a project has not been financially viable, both experts had a prediction of 3/5 for it to be viable. The Premier listens to the recommendations of the two experts and makes his decision based on the value of X.

a) There are two possible actions in the action space A = {a₀, a₁} where a₀ is to go ahead and a₁ is not to go ahead. There are two states of nature Θ = {θ₀, θ₁} where θ₀ = 0 represents 'extension is financially viable' and θ₁ = 1 means 'not viable'. Define a suitable loss function L(θ, a).
b) Compute the probability mass function (pmf) for X under both states of nature.
c) The complete list of all the non-randomized decisions rules D based on x is given by:
   x = 0: a₀ a₁ a₀ a₁ a₀ a₁ a₀ a₁
   x = 1: a₀ a₀ a₁ a₁ a₀ a₀ a₁ a₁
   x = 2: a₀ a₀ a₀ a₀ a₁ a₁ a₁ a₁
   (d₁ to d₈)
d) For each rule in D compute the corresponding risk points.
e) Find the minimax rule(s) among the non-randomized rules.
f) Sketch the risk set of all randomized rules D generated by the 8 rules. Use R or any plotting tool.
g) Find the risk point of the minimax rule in the set of randomized decision rules D. Compare to minimax in D.
h) Define the minimax rule in D in terms of rules in D.
i) For which prior on {θ₁, θ₂} is the minimax rule in D also a Bayes rule?
j) Suppose the Premier’s belief in viability is 50%. Find the Bayes rule and Bayes risk.
k) For ε = 0.1, find the ε-minimax rules and risk points on the risk set.",i,"For which prior on {θ₀, θ₁} is the minimax rule in D also a Bayes rule?"
Problemfour,"The Premier of NSW has to take an important decision whether or not to include an additional line (extension) to Sydney’s metro system. The decision is based on the financial viability of the extension. He is willing to apply decision theory in making his decision. He uses the independent opinion of two consulting experts. The data he uses is the number X of viability recommendations of the two experts (X = 0, 1 or 2).

If the Premier does not go ahead and the extension turns out not to be financially viable or if he decides to go ahead and the project is financially viable, nothing is lost. If the project is not financially viable and he has decided to go ahead, his subjective judgement is that his loss would equal three times the loss of not going ahead but the project is financially viable.

The Premier has investigated the history of viability predictions of the two consulting experts and it is as follows. When a project is financially viable, both experts have correctly predicted its viability with probability 4/5 (and wrongly with 1/5). When a project has not been financially viable, both experts had a prediction of 3/5 for it to be viable. The Premier listens to the recommendations of the two experts and makes his decision based on the value of X.

a) There are two possible actions in the action space A = {a₀, a₁} where a₀ is to go ahead and a₁ is not to go ahead. There are two states of nature Θ = {θ₀, θ₁} where θ₀ = 0 represents 'extension is financially viable' and θ₁ = 1 means 'not viable'. Define a suitable loss function L(θ, a).
b) Compute the probability mass function (pmf) for X under both states of nature.
c) The complete list of all the non-randomized decisions rules D based on x is given by:
   x = 0: a₀ a₁ a₀ a₁ a₀ a₁ a₀ a₁
   x = 1: a₀ a₀ a₁ a₁ a₀ a₀ a₁ a₁
   x = 2: a₀ a₀ a₀ a₀ a₁ a₁ a₁ a₁
   (d₁ to d₈)
d) For each rule in D compute the corresponding risk points.
e) Find the minimax rule(s) among the non-randomized rules.
f) Sketch the risk set of all randomized rules D generated by the 8 rules. Use R or any plotting tool.
g) Find the risk point of the minimax rule in the set of randomized decision rules D. Compare to minimax in D.
h) Define the minimax rule in D in terms of rules in D.
i) For which prior on {θ₁, θ₂} is the minimax rule in D also a Bayes rule?
j) Suppose the Premier’s belief in viability is 50%. Find the Bayes rule and Bayes risk.
k) For ε = 0.1, find the ε-minimax rules and risk points on the risk set.",j,Assume prior P(θ₀) = 0.5. Find the Bayes rule and the Bayes risk.
Problemfour,"The Premier of NSW has to take an important decision whether or not to include an additional line (extension) to Sydney’s metro system. The decision is based on the financial viability of the extension. He is willing to apply decision theory in making his decision. He uses the independent opinion of two consulting experts. The data he uses is the number X of viability recommendations of the two experts (X = 0, 1 or 2).

If the Premier does not go ahead and the extension turns out not to be financially viable or if he decides to go ahead and the project is financially viable, nothing is lost. If the project is not financially viable and he has decided to go ahead, his subjective judgement is that his loss would equal three times the loss of not going ahead but the project is financially viable.

The Premier has investigated the history of viability predictions of the two consulting experts and it is as follows. When a project is financially viable, both experts have correctly predicted its viability with probability 4/5 (and wrongly with 1/5). When a project has not been financially viable, both experts had a prediction of 3/5 for it to be viable. The Premier listens to the recommendations of the two experts and makes his decision based on the value of X.

a) There are two possible actions in the action space A = {a₀, a₁} where a₀ is to go ahead and a₁ is not to go ahead. There are two states of nature Θ = {θ₀, θ₁} where θ₀ = 0 represents 'extension is financially viable' and θ₁ = 1 means 'not viable'. Define a suitable loss function L(θ, a).
b) Compute the probability mass function (pmf) for X under both states of nature.
c) The complete list of all the non-randomized decisions rules D based on x is given by:
   x = 0: a₀ a₁ a₀ a₁ a₀ a₁ a₀ a₁
   x = 1: a₀ a₀ a₁ a₁ a₀ a₀ a₁ a₁
   x = 2: a₀ a₀ a₀ a₀ a₁ a₁ a₁ a₁
   (d₁ to d₈)
d) For each rule in D compute the corresponding risk points.
e) Find the minimax rule(s) among the non-randomized rules.
f) Sketch the risk set of all randomized rules D generated by the 8 rules. Use R or any plotting tool.
g) Find the risk point of the minimax rule in the set of randomized decision rules D. Compare to minimax in D.
h) Define the minimax rule in D in terms of rules in D.
i) For which prior on {θ₁, θ₂} is the minimax rule in D also a Bayes rule?
j) Suppose the Premier’s belief in viability is 50%. Find the Bayes rule and Bayes risk.
k) For ε = 0.1, find the ε-minimax rules and risk points on the risk set.",k,"For ε = 0.1, illustrate on the risk set the ε-minimax rules and their risk points."
Problemfive,"Let a continuous random variable T be the length of life of an electrical component. The hazard function h_T(t) associated with T is defined as

h_T(t) = lim_{η→0} P(t ≤ T < t + η | T ≥ t) / η.

(In other words, h_T(t) describes the rate of change of the probability that the component survives a little past time t given that the component survives to time t.)",a,"Denoting by F_T(t) and f_T(t) the cdf and the density of T respectively, show that

h_T(t) = f_T(t) / (1 - F_T(t)) = -d/dt log(1 - F_T(t))."
Problemfive,"Let a continuous random variable T be the length of life of an electrical component. The hazard function h_T(t) associated with T is defined as

h_T(t) = lim_{η→0} P(t ≤ T < t + η | T ≥ t) / η.

(In other words, h_T(t) describes the rate of change of the probability that the component survives a little past time t given that the component survives to time t.)",b,"Verify that if T is exponentially distributed, i.e.,\n\nf_T(t) = β e^{-tβ}, t > 0\n\nwhere β > 0 is a parameter of the distribution then h_T(t) = β, that is, the hazard function is a constant for the exponential distribution."
Problemfive,"Let a continuous random variable T be the length of life of an electrical component. The hazard function h_T(t) associated with T is defined as

h_T(t) = lim_{η→0} P(t ≤ T < t + η | T ≥ t) / η.

(In other words, h_T(t) describes the rate of change of the probability that the component survives a little past time t given that the component survives to time t.)",c,"Verify that if T is logistic with parameters μ (real) and β > 0, i.e.,\n\nF_T(t) = 1 / (1 + exp(-(t - μ)/β))

then h_T(t) = (1/β) F_T(t)."
Problemone,"Let X = (X1, X2, ..., Xn) be i.i.d. with log-normal density:
f(x, θ) = (1 / (x√(2πθ))) e^{−[log(x)]² / (2θ)}, x > 0.
θ > 0 is a parameter.",a,Show that Yi = logXi is normally distributed and determine its mean and variance. Hence find E[(log(Xi))²].
Problemone,"Let X = (X1, X2, ..., Xn) be i.i.d. with log-normal density:
f(x, θ) = (1 / (x√(2πθ))) e^{−[log(x)]² / (2θ)}, x > 0.
θ > 0 is a parameter.",b,Find the Fisher information about θ in one observation and in the sample of n observations.
