Question,AI answer,Correct answer,Match
106,20.0,20.0,1
107,162.0,72.0,0
108,3.0,3.0,1
109,60.0,50.0,0
110,28.0,28.0,1
111,57.0,45.0,0
112,6.4,16.0,0
113,24.0,24.0,1
114,25.0,25.0,1
115,6.0,6.0,1
116,130.0,90.0,0
117,42.0,42.0,1
118,360.0,360.0,1
119,4.0,4.0,1
120,96000.0,95200.0,0
121,240.0,240.0,1
122,34.0,27.0,0
123,44.0,48.0,0
124,55.0,50.0,0
125,10.0,10.0,1
126,10.0,10.0,1
127,82.0,82.0,1
128,120.0,120.0,1
129,1350.0,880.0,0
130,50000.0,10000.0,0
131,30.0,30.0,1
132,940.0,940.0,1
133,48.0,60.0,0
134,13.0,13.0,1
135,720.0,720.0,1
136,45.0,40.0,0
137,6.0,6.0,1
138,32.0,29.0,0
139,45.0,105.0,0
140,70.0,70.0,1
141,20.0,20.0,1
142,400.0,400.0,1
143,140.0,140.0,1
144,16.3,16.0,0
145,57.0,20.0,0
146,4000.0,4000.0,1
147,2125.0,2125.0,1
148,75.0,75.0,1
149,20.0,30.0,0
150,16.0,16.0,1
151,4.0,4.0,1
152,4.0,5.0,0
153,4.0,4.0,1
154,62.0,48.0,0
155,192.0,272.0,0
156,4150.0,280.0,0
157,1400.0,1400.0,1
158,600.0,80.0,0
159,34.0,34.0,1
160,15.0,15.0,1
161,29.0,16.0,0
162,21.0,32.0,0
163,320.0,92.0,0
164,57.0,50.0,0
165,15.0,15.0,1
166,77.0,77.0,1
167,5.0,5.0,1
168,16.0,16.0,1
169,18.0,18.0,1
170,80.0,120.0,0
171,112.5,150.0,0
172,1210.0,1210.0,1
173,41.0,51.0,0
174,18000.0,18000.0,1
175,5150.0,95.0,0
176,30.0,15.0,0
177,100.0,100.0,1
178,1083.33,350.0,0
179,106.0,122.0,0
180,130.0,130.0,1
181,20.0,20.0,1
182,160.0,160.0,1
183,32.0,23.0,0
184,3.0,2.0,0
185,25.0,25.0,1
186,30.0,30.0,1
187,7.0,5.0,0
188,106.12,106.0,0
189,40.0,50.0,0
190,38.25,34.0,0
191,360.0,360.0,1
192,5.0,5.0,1
193,104.0,91.0,0
194,24.0,24.0,1
195,10.0,10.0,1
196,12.0,12.0,1
197,120.0,120.0,1
198,6277.0,6277.0,1
199,280.0,320.0,0
200,7500.0,7500.0,1
201,55.0,55.0,1
202,109000.0,114200.0,0
203,100.0,100.0,1
204,29.0,31.0,0
205,98.0,98.0,1
206,98.0,98.0,1
207,3980.0,860.0,0
208,4200.0,2600.0,0
209,76.0,76.0,1
210,25.0,145.0,0
211,5.0,10.0,0
212,6.0,4.0,0
213,5.0,5.0,1
214,250.0,250.0,1
215,8.0,8.0,1
216,44.0,44.0,1
217,250.0,220.0,0
218,15.0,15.0,1
219,43.0,45.0,0
220,54.0,54.0,1
221,70.0,70.0,1
222,150.0,90.0,0
223,140.0,140.0,1
224,20000.0,20000.0,1
225,180.0,180.0,1
226,9.0,9.0,1
227,35.0,33.0,0
228,9.5,9.0,0
229,1.0,1.0,1
230,21.0,21.0,1
231,264000.0,276000.0,0
232,50.0,50.0,1
233,75.0,75.0,1
234,12.0,12.0,1
235,3.0,21.0,0
236,10.0,10.0,1
237,31.0,31.0,1
238,90.0,90.0,1
239,63.0,68.0,0
240,140.0,280.0,0
241,21.0,21.0,1
242,9.0,6.0,0
243,3.0,3.0,1
244,250.0,250.0,1
245,15.0,20.0,0
246,14.0,7.0,0
247,27000.0,27000.0,1
248,32.0,32.0,1
249,300.0,300.0,1
250,5200.0,5600.0,0
251,7.0,17.0,0
252,70.0,70.0,1
253,100.0,73.0,0
254,18.0,18.0,1
255,84.0,84.0,1
256,176.0,192.0,0
257,64.0,45.0,0
258,5600.0,5600.0,1
259,6.0,6.0,1
260,124.0,168.0,0
261,11.0,11.0,1
262,62.0,62.0,1
263,270.0,270.0,1
264,14.0,8.0,0
265,300.0,400.0,0
266,77000.0,9500.0,0
267,68000.0,118000.0,0
268,53.0,91.0,0
269,1375.0,1375.0,1
270,4.0,4.0,1
271,612.0,762.0,0
272,40.0,20.0,0
273,5.0,5.0,1
274,310.0,315.0,0
275,3200.0,3200.0,1
276,96.0,138.0,0
277,6.0,9.0,0
278,3.25,4.0,0
279,40.0,40.0,1
280,3.0,6.0,0
281,7.0,7.0,1
282,6650.0,2450.0,0
283,90.0,195.0,0
284,68.0,68.0,1
285,360.0,360.0,1
286,21.0,21.0,1
287,85.0,90.0,0
288,4.0,8.0,0
289,3.0,3.0,1
290,16.0,16.0,1
291,270.0,390.0,0
292,1.0,2.0,0
293,75.0,75.0,1
294,77.0,83.0,0
295,3.0,3.0,1
296,470.0,370.0,0
297,15.0,3.0,0
298,55.0,55.0,1
299,400.0,500.0,0
300,16500.0,31800.0,0
301,78.0,78.0,1
302,8.0,8.0,1
303,15.0,15.0,1
304,1100.0,1300.0,0
305,2900.0,3200.0,0
306,4.0,4.0,1
307,5.0,10.0,0
308,16.0,16.0,1
309,6.0,6.0,1
310,8.0,8.0,1
311,775.0,2050.0,0
312,84.0,91.0,0
313,32.0,32.0,1
314,6000000.0,120000.0,0
315,30.0,30.0,1
316,32.0,14.0,0
317,292.0,156.0,0
318,12.0,12.0,1
319,102.0,123.0,0
320,15.0,15.0,1
321,8.0,8.0,1
322,1.0,1.0,1
323,7.0,9.0,0
324,75.0,75.0,1
325,14.0,14.0,1
326,280000.0,224000.0,0
327,14.0,14.0,1
328,29.0,31.0,0
329,2.0,2.0,1
330,14.0,14.0,1
331,35.0,31.0,0
332,7800.0,8400.0,0
333,44.0,44.0,1
334,100.0,100.0,1
335,6.0,6.0,1
336,310.0,310.0,1
337,72.0,72.0,1
338,1.0,1.0,1
339,60.0,60.0,1
340,160.0,160.0,1
341,5.0,4.0,0
342,220.0,260.0,0
343,87.0,87.0,1
344,180000.0,180000.0,1
345,2.0,2.0,1
346,310.0,310.0,1
347,5.0,9.0,0
348,36.0,36.0,1
349,10.0,10.0,1
350,1500.0,2640.0,0
351,9.0,8.0,0
352,30.0,10.0,0
353,21.0,21.0,1
354,8.0,20.0,0
355,175.0,45.0,0
356,34.0,34.0,1
357,16.0,21.0,0
358,2.0,2.0,1
359,20.0,20.0,1
360,4.0,4.0,1
361,25.0,25.0,1
362,18.0,20.0,0
363,21.0,23.0,0
364,6.375,6.0,0
365,48.0,49.0,0
366,18.0,18.0,1
367,9.0,9.0,1
368,1.0,19.0,0
369,22.0,18.0,0
370,1346.0,1198.0,0
371,320.0,320.0,1
372,56.0,50.0,0
373,5.0,5.0,1
374,240000.0,240000.0,1
375,45.0,45.0,1
376,48.0,48.0,1
377,15.0,15.0,1
378,53.0,50.0,0
379,5.0,15.0,0
380,21.0,21.0,1
381,743.54,803.0,0
382,67.0,67.0,1
383,300.0,350.0,0
384,2.0,2.0,1
385,32.0,32.0,1
386,16.0,16.0,1
387,80.0,80.0,1
388,36.0,36.0,1
389,88.0,88.0,1
390,6.0,6.0,1
391,12.0,12.0,1
392,15.0,15.0,1
393,34.0,34.0,1
394,15.0,20.0,0
395,92.0,92.0,1
396,43.0,38.0,0
397,5.0,3.0,0
398,25.0,25.0,1
399,138.0,168.0,0
400,12.0,12.0,1
401,48.0,48.0,1
402,72000.0,14400.0,0
403,5.0,4.0,0
404,81.0,81.0,1
405,21.5,22.0,0
406,50.0,50.0,1
407,220.0,200.0,0
408,2000.0,2000.0,1
409,20.0,20.0,1
410,48000.0,168000.0,0
411,3.0,3.0,1
412,970.0,1110.0,0
413,5.0,5.0,1
414,25.0,25.0,1
415,56.0,56.0,1
416,145.0,350.0,0
417,56.0,56.0,1
418,2900.0,3140.0,0
419,40.0,40.0,1
420,3000.0,3000.0,1
421,17000.0,17000.0,1
422,15.0,12.0,0
423,248.0,284.0,0
424,10.0,8.0,0
425,540.0,570.0,0
426,150.0,150.0,1
427,10.5,11.0,0
428,150.0,150.0,1
429,8.0,26.0,0
430,13.0,13.0,1
431,116.0,132.0,0
432,1.0,1.0,1
433,30.0,30.0,1
434,6.0,6.0,1
435,5.0,5.0,1
436,5.0,5.0,1
437,15.0,15.0,1
438,7.0,7.0,1
439,3.0,2.0,0
440,11.0,17.0,0
441,84.0,98.0,0
442,80.0,80.0,1
443,53.0,49.0,0
444,69.0,59.0,0
445,20.0,20.0,1
446,12.0,6.0,0
447,10.0,2.0,0
448,5.0,5.0,1
449,457.0,539.0,0
450,112.0,112.0,1
451,7.0,4.0,0
452,22950.0,11050.0,0
453,50.0,50.0,1
454,6000.0,6400.0,0
455,240.0,150.0,0
456,960.0,1920.0,0
457,63.0,78.0,0
458,45.0,45.0,1
459,35.0,35.0,1
460,31.0,2.0,0
461,60.0,84.0,0
462,9.0,9.0,1
463,71.0,71.0,1
464,18.0,18.0,1
465,6.0,6.0,1
466,45.0,30.0,0
467,2.0,1.0,0
468,2240.0,1200.0,0
469,330.0,120.0,0
470,4.0,4.0,1
471,3.0,3.0,1
472,160.0,80.0,0
473,6.0,6.0,1
474,5.0,10.0,0
475,80.0,80.0,1
476,20.0,20.0,1
477,5.0,5.0,1
478,20.0,20.0,1
479,621.0,621.0,1
480,14400.0,15400.0,0
481,13.0,11.0,0
482,84.0,84.0,1
483,26.0,26.0,1
484,40.0,40.0,1
485,240.0,240.0,1
486,220.0,220.0,1
487,6.0,6.0,1
488,2.0,4.0,0
489,6.0,6.0,1
490,-10.0,-10.0,1
491,4.0,4.0,1
492,16.0,16.0,1
493,32.0,32.0,1
494,50.0,25.0,0
495,17.17,21.0,0
496,200.0,200.0,1
497,38.0,38.0,1
498,112.0,112.0,1
499,250.0,40.0,0
500,20.0,10.0,0
501,18.0,16.0,0
502,163.0,273.0,0
503,26.0,26.0,1
504,18.0,18.0,1
505,2.0,2.0,1
506,1200.0,1600.0,0
507,144.0,144.0,1
508,2.0,2.0,1
509,150.0,120.0,0
510,4.0,4.0,1
511,411.0,525.0,0
512,110.0,110.0,1
513,120.0,120.0,1
514,300.0,300.0,1
515,90000.0,90000.0,1
516,160.0,160.0,1
517,375.0,375.0,1
518,18.0,18.0,1
519,50.0,32.0,0
520,160.0,280.0,0
521,63.0,63.0,1
522,49.0,39.0,0
523,27.0,29.0,0
524,74.0,74.0,1
525,11.0,9.0,0
526,12.0,12.0,1
527,21.0,21.0,1
528,48.0,48.0,1
529,148.0,172.0,0
530,11.0,11.0,1
531,35.0,36.0,0
532,134.0,66.0,0
533,3.0,25.0,0
534,450.0,300.0,0
535,300.0,300.0,1
536,16.0,16.0,1
537,8.0,8.0,1
538,147.0,188.0,0
539,18.0,18.0,1
540,35.0,35.0,1
541,51.0,39.0,0
542,50.0,50.0,1
543,4.7,7.0,0
544,6.0,6.0,1
545,80.0,80.0,1
546,30.0,30.0,1
547,169.0,130.0,0
548,81.0,81.0,1
549,100.0,100.0,1
550,398.0,398.0,1
551,25.65,27.0,0
552,16.5,17.0,0
553,750.0,450.0,0
554,92.0,92.0,1
555,18.0,54.0,0
556,2.0,2.0,1
557,60.0,160.0,0
558,63.0,70.0,0
559,3.0,3.0,1
560,18.0,16.0,0
561,45.0,45.0,1
562,150.0,180.0,0
563,82.0,82.0,1
564,9.0,12.0,0
565,170.0,240.0,0
566,5.0,5.0,1
567,8.0,10.0,0
568,9.0,9.0,1
569,145.0,175.0,0
570,21.0,21.0,1
571,28.0,23.0,0
572,328.0,308.0,0
573,100.0,100.0,1
574,600.0,600.0,1
575,10.0,37.0,0
576,432.0,36.0,0
577,10368.0,11232.0,0
578,40.0,40.0,1
579,32.0,48.0,0
580,7.0,7.0,1
581,500.0,500.0,1
582,215.0,215.0,1
583,128400.0,129200.0,0
584,100.0,120.0,0
585,1.11,2.0,0
586,70.0,40.0,0
587,800.0,800.0,1
588,90.0,30.0,0
589,51.0,52.0,0
590,15.0,15.0,1
591,308.0,319.0,0
592,110.0,220.0,0
593,1.0,1.0,1
594,3.0,3.0,1
595,42.0,42.0,1
596,13.0,13.0,1
597,260.0,260.0,1
598,90.0,90.0,1
599,95.0,69.0,0
600,54.0,48.0,0
601,10.0,10.0,1
602,88.0,104.0,0
603,5.0,5.0,1
604,1620.0,1800.0,0
605,12.0,12.0,1
606,42.0,42.0,1
607,8.0,6.0,0
608,10.0,10.0,1
609,18.0,8.0,0
610,7.0,7.0,1
611,56360.0,65960.0,0
612,1050000.0,1450000.0,0
613,30.0,30.0,1
614,93000.0,93000.0,1
615,312.0,312.0,1
616,31.0,33.0,0
617,10.0,10.0,1
618,5.0,5.0,1
619,36.0,36.0,1
620,76.0,76.0,1
621,1509.0,1509.0,1
622,3000.0,3000.0,1
623,5.0,7.0,0
624,8.0,8.0,1
625,85.0,85.0,1
626,160.0,160.0,1
627,72.0,72.0,1
628,181.0,54.0,0
629,2.0,4.0,0
630,43750.0,17500.0,0
631,15.0,10.0,0
632,3500.0,4800.0,0
633,48.0,45.0,0
634,5.0,5.0,1
635,14.0,14.0,1
636,4.0,4.0,1
637,1050.0,1050.0,1
638,17.0,17.0,1
639,14.5,12.0,0
640,216.0,216.0,1
641,43750.0,43500.0,0
642,261000.0,262500.0,0
643,10500.0,10800.0,0
644,840.0,840.0,1
645,32.0,29.0,0
646,48.0,48.0,1
647,79.0,79.0,1
648,8.0,10.0,0
649,56.0,54.0,0
650,160000.0,162000.0,0
651,218.0,142.0,0
652,1750.0,2100.0,0
653,75.0,75.0,1
654,80.0,80.0,1
655,2.0,2.0,1
656,10.0,10.0,1
657,10.0,10.0,1
658,270000.0,330000.0,0
659,80.0,120.0,0
660,3.0,3.0,1
661,15.0,15.0,1
662,9.0,44.0,0
663,7.0,7.0,1
664,193.0,193.0,1
665,32.0,32.0,1
666,360.0,360.0,1
667,110.0,120.0,0
668,53.0,53.0,1
669,3.0,3.0,1
670,136.0,132.0,0
671,4.0,4.0,1
672,5.75,4.0,0
673,1.0,2.0,0
674,9.0,9.0,1
675,12.0,12.0,1
676,20.0,33.0,0
677,160.0,240.0,0
678,36.0,36.0,1
679,60.0,120.0,0
680,576.0,576.0,1
681,50.0,20.0,0
682,309.0,298.0,0
683,80.0,80.0,1
684,50.0,50.0,1
685,11.0,11.0,1
686,14.0,14.0,1
687,80.0,80.0,1
688,11.0,13.0,0
689,100.0,100.0,1
690,16.0,7.0,0
691,7200.0,5760.0,0
692,25.0,25.0,1
693,39.0,32.0,0
694,60.0,68.0,0
695,197.0,9.0,0
696,5.0,5.0,1
697,119.0,145.0,0
698,27.0,27.0,1
699,720.0,720.0,1
700,8.0,8.0,1
701,129.0,135.0,0
702,440.0,200.0,0
703,3600.0,2800.0,0
704,66.0,50.0,0
705,50.0,50.0,1
706,120.0,120.0,1
707,9.0,9.0,1
708,8.0,8.0,1
709,168.0,168.0,1
710,2600.0,3000.0,0
711,40.05,45.0,0
712,4.0,6.0,0
713,14.0,14.0,1
714,576.0,576.0,1
715,10.0,10.0,1
716,385000.0,385000.0,1
717,730.0,770.0,0
718,4.0,5.0,0
719,2.0,2.0,1
720,175.0,175.0,1
721,4.0,4.0,1
722,13500.0,2450.0,0
723,225.0,255.0,0
724,160.0,160.0,1
725,15.0,18.0,0
726,22.5,25.0,0
727,10.0,10.0,1
728,544.0,112.0,0
729,40.0,40.0,1
730,1000.0,1000.0,1
731,8.0,8.0,1
732,2.0,1.0,0
733,107.0,87.0,0
734,5.0,5.0,1
735,15.0,17.0,0
736,30.0,50.0,0
737,3.0,3.0,1
738,7.0,2.0,0
739,4.0,4.0,1
740,62.0,98.0,0
741,30.0,25.0,0
742,28.0,28.0,1
743,24.0,24.0,1
744,8.0,8.0,1
745,4.0,4.0,1
746,1500.0,1100.0,0
747,20.0,28.0,0
748,350.0,350.0,1
749,672.0,336.0,0
750,6.0,3.0,0
751,3680.0,4000.0,0
752,43.0,43.0,1
753,300.0,240.0,0
754,130.0,128.0,0
755,107.0,89.0,0
756,7.0,7.0,1
757,22.0,22.0,1
758,60.0,75.0,0
759,133.0,133.0,1
760,600000.0,60000.0,0
761,16.0,16.0,1
762,27.0,27.0,1
763,25.0,85.0,0
764,100.0,100.0,1
765,14.0,14.0,1
766,490.0,490.0,1
767,12.0,12.0,1
768,60.0,60.0,1
769,450.0,675.0,0
770,85.0,110.0,0
771,4.0,4.0,1
772,3.0,3.0,1
773,75.0,50.0,0
774,12.0,10.0,0
775,10.0,10.0,1
776,28.0,276.0,0
777,800.0,800.0,1
778,3520.0,4400.0,0
779,38.0,38.0,1
780,312.5,255.0,0
781,10.0,25.0,0
782,17.0,17.0,1
783,23.0,54.0,0
784,7.0,4.0,0
785,15.0,15.0,1
786,91.0,155.0,0
787,142.0,142.0,1
788,20.0,25.0,0
789,100.0,100.0,1
790,3.0,4.0,0
791,36.0,108.0,0
792,100.0,100.0,1
793,75.0,75.0,1
794,250.0,250.0,1
795,22.0,32.0,0
796,20.0,20.0,1
797,2520000.0,2880000.0,0
798,540.0,540.0,1
799,21.67,20.0,0
800,4.0,4.0,1
801,428.0,428.0,1
802,1400.0,1240.0,0
803,9.0,6.0,0
804,13.0,9.0,0
805,20.0,20.0,1
806,1170.0,1170.0,1
807,0.7,70.0,0
808,4.0,4.0,1
809,15.0,12.0,0
810,50.0,50.0,1
811,3190.0,310.0,0
812,84.0,60.0,0
813,118.0,79.0,0
814,7.0,7.0,1
815,15.0,11.0,0
816,4.0,4.0,1
817,4500.0,4500.0,1
818,15.0,15.0,1
819,24.0,16.0,0
820,6250.0,6250.0,1
821,720.0,720.0,1
822,35.0,35.0,1
823,1260.0,1260.0,1
824,24.0,14.0,0
825,52.0,52.0,1
826,137.0,153.0,0
827,28.0,27.0,0
828,16.8,11.0,0
829,60.0,60.0,1
830,18000.0,14000.0,0
831,566.0,1128.0,0
832,289.0,324.0,0
833,42.0,42.0,1
834,480.0,40.0,0
835,80.0,80.0,1
836,27.0,48.0,0
837,80.0,140.0,0
838,120.0,120.0,1
839,15.0,15.0,1
840,2.0,2.0,1
841,5.0,16.0,0
842,5500.0,5600.0,0
843,10.0,10.0,1
844,13.0,19.0,0
845,210.0,180.0,0
846,12.0,12.0,1
847,10.0,11.0,0
848,975.0,975.0,1
849,20.0,10.0,0
850,75.0,75.0,1
851,75.0,70.0,0
852,110.0,110.0,1
853,111.0,123.0,0
854,15.0,15.0,1
855,96.0,144.0,0
856,17.0,13.0,0
857,7.0,7.0,1
858,14000.0,14000.0,1
859,2230.0,3430.0,0
860,760.0,1520.0,0
861,3.0,3.0,1
862,18.0,30.0,0
863,40.0,40.0,1
864,110.0,110.0,1
865,80.0,80.0,1
866,27.0,23.0,0
867,34.0,28.0,0
868,7.0,7.0,1
869,15.0,15.0,1
870,500.0,500.0,1
871,40.0,40.0,1
872,44.0,48.0,0
873,13.0,13.0,1
874,12.0,12.0,1
875,132.0,132.0,1
876,60.0,60.0,1
877,61.0,41.0,0
878,5500.0,7000.0,0
879,5.0,5.0,1
880,475.0,575.0,0
881,7.0,10.0,0
882,4.0,16.0,0
883,5.0,5.0,1
884,25.0,25.0,1
885,50.0,50.0,1
886,500.0,500.0,1
887,20.0,20.0,1
888,46.0,34.0,0
889,10.0,10.0,1
890,15.0,15.0,1
891,25.0,25.0,1
892,55.0,55.0,1
893,1.0,1.0,1
894,480.0,480.0,1
895,50.0,26.0,0
896,74.0,74.0,1
897,250.0,250.0,1
898,8.0,1.0,0
899,110.0,110.0,1
900,16.0,16.0,1
901,12.0,15.0,0
902,1.0,1.0,1
903,7.0,8.0,0
904,15.0,16.0,0
905,8.0,8.0,1
906,11.0,5.0,0
907,12.0,10.0,0
908,16.0,16.0,1
909,14.0,14.0,1
910,34.0,38.0,0
911,700.0,700.0,1
912,64.0,64.0,1
913,6.0,6.0,1
914,6.0,6.0,1
915,3.0,3.0,1
916,23.0,23.0,1
917,19.0,14.0,0
918,12.0,12.0,1
919,94.0,56.0,0
920,90.0,90.0,1
921,60.0,47.0,0
922,4.0,4.0,1
923,60.0,60.0,1
924,4.0,2.0,0
925,3.0,12.0,0
926,2000.0,2000.0,1
927,2.0,1.0,0
928,155000.0,85000.0,0
929,60.0,60.0,1
930,60.0,60.0,1
931,14.0,14.0,1
932,50.0,50.0,1
933,20.0,24.0,0
934,20.0,15.0,0
935,410.0,410.0,1
936,48600.0,64800.0,0
937,210.0,250.0,0
938,156.0,159.0,0
939,5.0,4.0,0
940,650.0,650.0,1
941,280.0,280.0,1
942,82.0,842.0,0
943,180.0,205.0,0
944,50.0,50.0,1
945,31.0,34.0,0
946,13.5,17.0,0
947,450.0,450.0,1
948,13.0,13.0,1
949,15.0,15.0,1
950,42.0,42.0,1
951,5.0,5.0,1
952,300.0,300.0,1
953,1800.0,360.0,0
954,452.0,452.0,1
955,50.0,34.0,0
956,360.0,100.0,0
957,3.0,1.0,0
958,45.0,45.0,1
959,40.0,40.0,1
960,14.0,7.0,0
961,11.0,11.0,1
962,225.0,225.0,1
963,600.0,1000.0,0
964,98.0,147.0,0
965,200.0,200.0,1
966,386.0,374.0,0
967,60.0,48.0,0
968,30.0,30.0,1
969,237.0,227.0,0
970,1500.0,1800.0,0
971,33.0,33.0,1
972,100.0,100.0,1
973,120.0,120.0,1
974,79.0,79.0,1
975,5.0,5.0,1
976,20.0,20.0,1
977,459.0,540.0,0
978,4.0,4.0,1
979,160.0,160.0,1
980,91.0,50.0,0
981,80.0,90.0,0
982,9.0,7.0,0
983,13.0,12.0,0
984,15.0,15.0,1
985,264.0,342.0,0
986,63.0,63.0,1
987,62.5,70.0,0
988,5.0,3.0,0
989,6.0,6.0,1
990,45.0,45.0,1
991,7.0,14.0,0
992,57.0,15.0,0
993,40.0,52.0,0
994,11.0,11.0,1
995,3.0,2.0,0
996,18.0,12.0,0
997,5.0,3.0,0
998,6600.0,6600.0,1
999,50.0,50.0,1
1000,25.0,25.0,1
1001,2.83,1.0,0
1002,1.2,2.0,0
1003,8.0,8.0,1
1004,465.0,480.0,0
1005,4.0,8.0,0
1006,1490.0,1490.0,1
1007,8260.0,826.0,0
1008,25.0,34.0,0
1009,230.0,230.0,1
1010,1625.0,1875.0,0
1011,5.0,5.0,1
1012,8250.0,6000.0,0
1013,89.0,94.0,0
1014,10.0,2.0,0
1015,8.0,3.0,0
1016,78.0,78.0,1
1017,139.0,138.0,0
1018,27.0,45.0,0
1019,60.0,60.0,1
1020,113.0,98.0,0
1021,22.0,22.0,1
1022,40.0,36.0,0
1023,20.0,12.0,0
1024,77.0,77.0,1
1025,480.0,300.0,0
1026,50.0,30.0,0
1027,43200.0,43200.0,1
1028,12.0,12.0,1
1029,200.0,200.0,1
1030,37.0,34.0,0
1031,24.0,24.0,1
1032,8.0,5.0,0
1033,450.0,450.0,1
1034,1.0,2.0,0
1035,66.0,66.0,1
1036,35.0,35.0,1
1037,10.0,10.0,1
1038,14.0,10.0,0
1039,5.33,4.0,0
1040,100.0,160.0,0
1041,1482.0,736.0,0
1042,91.0,101.0,0
1043,11.25,3.0,0
1044,130000.0,130000.0,1
1045,5.0,1.0,0
1046,320.0,420.0,0
1047,31.5,189.0,0
1048,10.0,10.0,1
1049,10458.0,7400.0,0
1050,20.0,20.0,1
1051,655.0,655.0,1
1052,15.0,15.0,1
1053,210.0,110.0,0
1054,55.0,55.0,1
1055,2400.0,2400.0,1
1056,2304.0,2304.0,1
1057,156.0,156.0,1
1058,24.0,24.0,1
1059,250.0,250.0,1
1060,6.0,2.0,0
1061,32.0,31.0,0
1062,58.0,58.0,1
1063,770.0,482.0,0
1064,320.0,320.0,1
1065,249.0,247.0,0
1066,95.0,95.0,1
1067,18.0,14.0,0
1068,24500.0,245.0,0
1069,36.0,24.0,0
1070,300.0,300.0,1
1071,18.0,18.0,1
1072,362.0,251.0,0
1073,95.0,85.0,0
1074,61.0,21.0,0
1075,500.0,750.0,0
1076,23.0,16.0,0
1077,176.0,162.0,0
1078,145.0,145.0,1
1079,4.0,8.0,0
1080,10.0,10.0,1
1081,72000.0,72000.0,1
1082,195.0,195.0,1
1083,2.0,2.0,1
1084,2.0,2.0,1
1085,20.0,20.0,1
1086,26.0,26.0,1
1087,138750.0,131250.0,0
1088,12.0,12.0,1
1089,35.0,30.0,0
1090,32.0,32.0,1
1091,76.0,72.0,0
1092,1000.0,1000.0,1
1093,1080.0,1080.0,1
1094,72.0,144.0,0
1095,27.0,25.0,0
1096,270.0,270.0,1
1097,91.0,240.0,0
1098,806.0,480.0,0
1099,30.0,30.0,1
1100,1.0,2.0,0
1101,3.75,5.0,0
1102,16.0,16.0,1
1103,97.0,113.0,0
1104,90.0,90.0,1
1105,24.0,24.0,1
1106,16.0,40.0,0
1107,5.0,5.0,1
1108,360.0,360.0,1
1109,38.0,38.0,1
1110,3.0,3.0,1
1111,55.0,60.0,0
1112,207.0,157.0,0
1113,5.0,5.0,1
1114,-3.0,-3.0,1
1115,8.0,8.0,1
1116,5.0,5.0,1
1117,60.0,60.0,1
1118,9.0,9.0,1
1119,5.0,5.0,1
1120,22.0,18.0,0
1121,560.0,560.0,1
1122,35.0,35.0,1
1123,3.0,18.0,0
1124,105.0,105.0,1
1125,64.0,64.0,1
1126,90.0,90.0,1
1127,50.0,50.0,1
1128,750.0,750.0,1
1129,9.0,9.0,1
1130,5.0,8.0,0
1131,21.0,25.0,0
1132,96.0,96.0,1
